,MP_timestamp,MP_price_in_stable
631,2022-09-24,48068892031.96993
632,2022-09-25,48068892031.96993
633,2022-09-26,48068892031.96993
634,2022-09-27,48068892031.96993
635,2022-09-28,48068892031.96993
636,2022-09-29,48044941306.314835
637,2022-09-30,48044941306.314835
638,2022-10-01,48044941306.314835
639,2022-10-02,48044941306.314835
640,2022-10-03,48044941306.314835
641,2022-10-04,48044941306.314835
642,2022-10-05,48044941306.314835
643,2022-10-06,48065567205.927795
644,2022-10-07,48065567205.927795
645,2022-10-08,48065567205.927795
646,2022-10-09,48065567205.927795
647,2022-10-10,48065567205.927795
648,2022-10-11,48065567205.927795
649,2022-10-12,48065567205.927795
650,2022-10-13,48070391901.3413
651,2022-10-14,48070391901.3413
652,2022-10-15,48070391901.3413
653,2022-10-16,48070391901.3413
654,2022-10-17,48070391901.3413
655,2022-10-18,48070391901.3413
656,2022-10-19,48070391901.3413
657,2022-10-20,48074504323.083786
658,2022-10-21,48079807054.05526
659,2022-10-22,48084598809.74661
660,2022-10-23,48089565817.46981
661,2022-10-24,48091295082.79407
662,2022-10-25,48092292806.6921
663,2022-10-26,48092334906.06873
664,2022-10-27,48082800064.12301
665,2022-10-28,48082800064.12301
666,2022-10-29,48082800064.12301
667,2022-10-30,48082800064.12301
668,2022-10-31,48082800064.12301
669,2022-11-01,48082800064.12301
670,2022-11-02,48082800064.12301
671,2022-11-03,48082800064.12301
672,2022-11-04,48080215769.80124
673,2022-11-05,48080215769.80124
674,2022-11-06,48080215769.80124
675,2022-11-07,48080215769.80124
676,2022-11-08,48080215769.80124
677,2022-11-09,48080215769.80124
678,2022-11-10,48080215769.80124
679,2022-11-11,48080469571.40628
680,2022-11-12,48080469571.40628
681,2022-11-13,48080469571.40628
682,2022-11-14,48080469571.40628
683,2022-11-15,48080469571.40628
684,2022-11-16,48080469571.40628
685,2022-11-17,48080469571.40628
686,2022-11-18,48083142746.02449
687,2022-11-19,48083142746.02449
688,2022-11-20,48083142746.02449
689,2022-11-21,48083142746.02449
690,2022-11-22,48083142746.02449
691,2022-11-23,48083142746.02449
692,2022-11-24,48083142746.02449
693,2022-11-25,48063304474.87685
694,2022-11-26,48063304474.87685
695,2022-11-27,48063304474.87685
696,2022-11-28,48063304474.87685
697,2022-11-29,48063304474.87685
698,2022-11-30,48063304474.87685
699,2022-12-01,48063304474.87685
700,2022-12-02,48114581321.714935
701,2022-12-03,48114581321.714935
702,2022-12-04,48114581321.714935
703,2022-12-05,48114581321.714935
704,2022-12-06,48114581321.714935
705,2022-12-07,48114581321.714935
706,2022-12-08,48114581321.714935
707,2022-12-09,48116575566.973236
708,2022-12-10,48116575566.973236
709,2022-12-11,48116575566.973236
710,2022-12-12,48116575566.973236
711,2022-12-13,48116575566.973236
712,2022-12-14,48116575566.973236
713,2022-12-15,48116575566.973236
714,2022-12-16,48119283522.92002
715,2022-12-17,48119283522.92002
716,2022-12-18,48119283522.92002
717,2022-12-19,48119283522.92002
718,2022-12-20,48119283522.92002
719,2022-12-21,48119283522.92002
720,2022-12-22,48119283522.92002
721,2022-12-23,48125831324.7663
722,2022-12-24,48125831324.7663
723,2022-12-25,48125831324.7663
724,2022-12-26,48125831324.7663
725,2022-12-27,48125831324.7663
726,2022-12-28,48125831324.7663
727,2022-12-29,48125831324.7663
728,2022-12-30,48125831324.7663
729,2022-12-31,48120412417.046844
730,2023-01-01,48120412417.046844
